Snapshot,x,y
0,467,541
0,746,610
0,451,620
0,907,718
0,956,618
0,993,569
0,566,379
0,1126,549
0,832,481
0,304,505
0,866,368
0,520,466
0,1109,490
0,1139,414
0,983,453
0,1120,310
0,570,511
0,1085,343
0,1197,325
0,1057,330
0,1185,378
0,1129,579
0,815,356
0,907,333
1,366,592
1,464,613
1,785,850
1,851,748
1,1183,779
1,527,470
1,1199,700
1,941,675
1,746,605
1,1055,512
1,836,597
1,326,467
1,583,509
1,983,450
1,591,443
1,658,438
1,1125,550
1,835,468
1,520,390
1,829,347
1,881,346
1,1018,415
1,1189,382
1,1114,321
1,1045,334
1,1198,659
1,1252,498
1,1135,305
1,791,351
1,519,377
1,1175,337
2,255,602
2,729,734
2,754,597
2,921,671
2,491,545
2,444,625
2,534,475
2,991,435
2,686,591
2,1128,867
2,1130,552
2,283,498
2,1143,422
2,453,564
2,802,356
2,834,480
2,446,550
2,1062,382
2,699,405
2,1017,415
2,1247,547
2,868,357
2,1126,335
2,1190,293
2,1204,357
2,1136,434
2,1109,867
2,287,461
2,1247,521
2,672,286
2,469,557
2,835,342
2,462,630
3,1221,679
3,469,627
3,870,769
3,535,474
3,795,583
3,277,570
3,894,570
3,558,386
3,607,455
3,702,414
3,1125,558
3,273,522
3,1111,443
3,966,461
3,826,482
3,996,426
3,591,340
3,1245,312
3,802,332
3,1186,368
3,1138,306
3,1049,391
3,1098,337
3,1125,579
3,834,340
3,800,393
4,1115,911
4,532,478
4,752,593
4,1249,587
4,1017,411
4,1134,440
4,693,404
4,1130,557
4,834,480
4,833,384
4,562,388
4,1059,384
4,579,336
4,627,320
4,1003,407
4,895,333
4,1148,375
4,1134,325
4,1158,374
4,975,281
4,653,294
4,1040,269
4,894,272
5,453,570
5,1219,856
5,520,469
5,934,688
5,1212,583
5,623,491
5,1184,715
5,552,563
5,563,368
5,995,420
5,1110,538
5,834,480
5,697,403
5,1216,718
5,606,321
5,513,396
5,1102,462
5,1183,387
5,1046,394
5,878,306
5,503,391
5,1090,340
5,1205,313
5,799,358
5,981,272
6,473,552
6,649,759
6,771,591
6,789,749
6,429,603
6,1121,907
6,539,474
6,1072,511
6,510,391
6,924,473
6,564,529
6,1122,552
6,643,468
6,586,364
6,1142,421
6,830,483
6,1013,398
6,1267,474
6,500,447
6,1168,286
6,558,552
6,1075,272
6,1066,364
6,656,308
6,1196,346
6,548,495
6,879,282
6,1030,271
6,869,375
7,269,579
7,340,464
7,904,711
7,869,604
7,832,575
7,731,625
7,521,473
7,1060,523
7,712,626
7,580,488
7,1127,554
7,689,409
7,1137,425
7,996,426
7,566,374
7,625,489
7,550,485
7,1197,335
7,863,321
7,1084,378
7,894,339
7,805,359
7,1042,400
7,610,331
7,1147,310
7,815,455
7,909,306
7,1097,339
8,771,724
8,522,462
8,702,618
8,837,560
8,530,547
8,411,607
8,271,503
8,494,401
8,1126,556
8,211,531
8,1025,405
8,980,440
8,1112,452
8,643,304
8,1078,371
8,823,345
8,494,420
8,1099,340
8,870,363
8,362,540
8,791,358
8,945,306
8,259,599
8,877,270
8,1114,302
